minmax_acc,zscore_acc,minmax_sens,zscore_sens,minmax_spec,zscore_spec,minmax_f1,zscore_f1,minmax_auc,zscore_auc
0.894,0.894,0.8670795696681071,0.8653356995031841,0.9026795977974782,0.9001764648700882,0.879832911845156,0.8787008777122054,0.9806998711437674,0.9809521963808648
0.896,0.898,0.8712126914482876,0.8693899527834436,0.8918376379986287,0.8945691543060924,0.8791232017289925,0.8778208023730238,0.979803457650041,0.9831409444199163
0.896,0.898,0.8653432404002517,0.8716022850380625,0.9061347783190363,0.9050575773169655,0.8805632418971304,0.8839709185807078,0.9810719362071214,0.9803272278236463
0.894,0.9,0.862168802562218,0.8763247104921952,0.9012189078609428,0.9119869503575229,0.8765895987069533,0.8894716321582873,0.9809464009899901,0.9808656090705526
0.896,0.9,0.8753550640117128,0.8738167349418576,0.9021306391658642,0.9053407405123356,0.8852705741136794,0.8862480143027563,0.9836938023224439,0.9792799467644474
0.898,0.896,0.8731389042217405,0.8691165847308716,0.899901800252658,0.905694337837195,0.8832212906545273,0.8822019345779821,0.981633693504919,0.9831141787975841
0.896,0.898,0.8726609183174917,0.8700194650764763,0.9144070226585886,0.909972713017652,0.8894175356334337,0.8848414783995241,0.9789273040565603,0.9751006050724678
0.9,0.886,0.8755492366743595,0.8564038611709079,0.9035803783668855,0.897278191921049,0.8869003266017964,0.8694146068616612,0.9811464631425586,0.9823932477969803
0.9,0.898,0.8843951253624288,0.8662143205396245,0.8963718897278881,0.9057215433920403,0.8892687671165345,0.8807955766055674,0.9805547217118807,0.9817296035458583
0.892,0.898,0.8670677396139904,0.8721775871500254,0.8941661723978128,0.8998510326755257,0.8762685516360147,0.8825334766984436,0.9808102518248569,0.9780623364682308
0.898,0.89,0.8790066992422955,0.8733167988155529,0.8975860159073582,0.9034027114902773,0.8863931121077269,0.8860228702369767,0.9810500662650713,0.9752353530503383
0.892,0.9,0.8656376335625751,0.8733238799598386,0.8988099847757393,0.9043602263494102,0.8767502662592375,0.8860710183275274,0.982853813537403,0.981413084020973
0.89,0.898,0.8717731003565029,0.8715041803186484,0.8922308742076185,0.9061483955865979,0.880595204151332,0.8854527536426497,0.9797933748712201,0.9806886111596077
0.906,0.898,0.8822980972705355,0.8718862330113558,0.9086606262722378,0.904529986318688,0.8928884502154372,0.8849547785859178,0.9830565234463889,0.9800241594841995
0.896,0.892,0.8681438992267355,0.8706120732006105,0.8994388945526257,0.8888573144454719,0.879672720124724,0.8783216525255096,0.9772147181875799,0.976997056982298
0.904,0.9,0.8787328714369416,0.8685469788981078,0.9103395782690223,0.9056876870011983,0.8909602098559428,0.8819517572757457,0.979878698056545,0.9814542573900125
0.888,0.88,0.852979854836685,0.8608880232288826,0.8931122324737412,0.8870252036909371,0.8690373746391789,0.8711353888940095,0.9756218799954378,0.982879048211818
0.886,0.896,0.8598303131928444,0.8660092410662523,0.8913036995620166,0.90071231160092,0.8722336491488376,0.8790742449722073,0.9815840345097328,0.9824750781275267
0.902,0.892,0.8800757795796684,0.8736129037329672,0.9092455541707698,0.8924595872512413,0.8921179209073224,0.8809437469813135,0.9829724053946575,0.9802175162260985
0.898,0.898,0.8736187347438574,0.8753512364763593,0.9037928790869462,0.9165181257020105,0.8851280738182857,0.8918996203123382,0.9809036991704508,0.9792301316219192
0.902,0.892,0.8780550407168244,0.8731197218609436,0.9023584027820227,0.914695869175941,0.8876171650260449,0.8897528806020084,0.9791977785692488,0.9795897299014663
0.888,0.906,0.8634906837262798,0.878840173080904,0.8870156934186723,0.9041118742097216,0.8717392120988318,0.8879640532405519,0.9806380108314919,0.9800824421704506
0.892,0.886,0.864089645946476,0.8669591878366326,0.8950611297585587,0.8937772729888234,0.8755381804438175,0.8771040845636513,0.9782608189302009,0.9810671252313581
0.9,0.9,0.8769907111581958,0.8745460079817854,0.901383318619055,0.9093822131762517,0.8866242828060731,0.88899822109606,0.9801419404540088,0.9807230694882213
0.902,0.886,0.8764203168137322,0.8664819904440837,0.9139146110140984,0.8954714547411202,0.8916928317369243,0.8772858902573947,0.9790171001253837,0.9806574158043543
0.888,0.9,0.8614856024529061,0.8740213527935344,0.8858805427432372,0.9031389189941024,0.8695519992106451,0.8843428927846864,0.9807787288783247,0.9805867442954932
0.896,0.902,0.8636194739706028,0.8780463054139714,0.9032917738197803,0.9099893748800959,0.8784031411777383,0.8899050109256115,0.9812310423950411,0.9789154326590814
0.9,0.894,0.8696814416538045,0.8651381609268796,0.9053976954013603,0.9005594009427152,0.8831592805561496,0.8786808884517507,0.9808200480507165,0.9810220412121838
0.898,0.886,0.8774587116261963,0.8617603535016508,0.9044504988024482,0.8864875187692952,0.8880828546346101,0.8708051024842817,0.9804735891589956,0.981128702807179
0.878,0.9,0.8372977729120598,0.8797712662494057,0.8855593973730446,0.9029561667927359,0.85266035275495,0.8884164217718972,0.9811470359748203,0.97948987119754
0.898,0.902,0.8820825707392196,0.873640088612527,0.9030714189447615,0.9093678167135136,0.8909072798347101,0.8864475843446017,0.9779088010358079,0.9827617586002008
0.9,0.904,0.8696064006892369,0.8834548352693787,0.9142094527387218,0.9113349543033717,0.8855844705794601,0.8935479769794472,0.9823103086818481,0.979790236486035
