minmax_acc,zscore_acc,minmax_sens,zscore_sens,minmax_spec,zscore_spec,minmax_f1,zscore_f1,minmax_auc,zscore_auc
0.804,0.796,0.7625216951688304,0.75227478589742,0.8034049386884764,0.8027972003401684,0.7560295473785213,0.7471268603891419,0.9428889814231809,0.9378609013972946
0.794,0.786,0.75001281465632,0.7400010407159746,0.795847086573823,0.7911832028322431,0.7459831683595636,0.7289113743693028,0.941282928625693,0.9372230190591074
0.796,0.788,0.7547219760909157,0.7454777812283645,0.7976708747176584,0.7884545819412588,0.7504905572741686,0.7398888707111158,0.9359697024864239,0.94009782166093
0.794,0.8,0.7550921346248024,0.7572180514441339,0.7915305081709544,0.8110331621767969,0.7519008171891332,0.7526635237901895,0.9402383110721124,0.939917412808459
0.792,0.796,0.7457100935678845,0.753811114561698,0.79083135702161,0.7947679716225462,0.7383313566941152,0.7474911775933006,0.9372992612122869,0.9392037942218135
0.802,0.798,0.7599615172515094,0.7559617497704094,0.7904577497117677,0.7987981988970604,0.7556917386750621,0.750014493342294,0.9430704691099585,0.9401246146169334
0.8,0.798,0.7575453119029733,0.7575992233647147,0.7871234192773335,0.7927164468794894,0.7513344387454867,0.752720745982038,0.9424160273199865,0.9371753198578728
0.79,0.794,0.7486300996269883,0.7509102505537558,0.7817232657020502,0.7814154550740389,0.7452430525324866,0.745751234372911,0.9380774221227828,0.9383424315521363
0.802,0.796,0.7584117629554498,0.7548974146874069,0.8089888512374298,0.7910819829341222,0.7532765619325558,0.7504904269841096,0.9404551583725848,0.9382981684906064
0.796,0.8,0.7536632173461316,0.7608628777957271,0.7921057047627841,0.7946264607408446,0.7505844601706985,0.7564995935787389,0.9397211658915231,0.9456807434396147
0.794,0.79,0.7549513261491482,0.7465547196588161,0.7901912329024189,0.7912193246092762,0.751574383934091,0.7398539839947246,0.9408647292624979,0.9395610591193493
0.792,0.798,0.7520735976926022,0.7560794226946678,0.7793720551750738,0.7895193063153371,0.7437658361959016,0.7542383724727175,0.9361792635028395,0.9402551828122504
0.8,0.8,0.7587914224743367,0.7600897223797146,0.8021538606368136,0.7942506279501679,0.7546771354499772,0.7546361279862771,0.9385543467054528,0.9422012554219509
0.794,0.798,0.7514178358299436,0.7557268233739585,0.7924608256881581,0.7969633214110386,0.7450325328802009,0.749442185623339,0.9436505391595326,0.9394803558623259
0.79,0.79,0.7446316427357392,0.747062304935004,0.7885531568510292,0.7966236697107995,0.7388535701780693,0.7395066708059085,0.9378291944682938,0.9433247968830852
0.794,0.792,0.7552629584571507,0.751005819145565,0.8051316763264446,0.7938368528975093,0.7519393197353855,0.7484696730263485,0.9380123119419301,0.9407426264437401
0.79,0.792,0.7504710335900381,0.7485350122179265,0.8003047071693921,0.7875805099636493,0.743124381658483,0.7461828699460877,0.9404760802730219,0.9394054108825928
0.796,0.798,0.756604567184033,0.7541900135269334,0.7965924479302702,0.8037284682661953,0.75056693349568,0.743867700533782,0.9423806326830122,0.9407123016008475
0.794,0.798,0.7509838541028585,0.7568116110979736,0.8037034484028874,0.7913062434579462,0.746504750284251,0.7520997806256142,0.9358178042627099,0.9350062805126799
0.796,0.794,0.7551759292762664,0.7522821540082365,0.7869755716985732,0.7864299886621314,0.7506742291590284,0.7457306320838453,0.9379500549335292,0.9406215470305682
0.796,0.804,0.7556795899056724,0.7592672006212323,0.7950516353149784,0.7973307003378505,0.7477695461588861,0.7549076043760894,0.9399962059403295,0.942212428169542
0.788,0.798,0.7490297923348223,0.7574103591364416,0.7917595693447551,0.7913929648143637,0.741790889834873,0.7499881373818221,0.9383899373631786,0.9439931286967372
0.794,0.796,0.7499345963430745,0.7553703698427577,0.8059573915325388,0.7912894605696311,0.7470533780735781,0.7510949705358961,0.9399034584131788,0.9408078717752705
0.794,0.8,0.7508595736214353,0.7584797901663342,0.7897618657284197,0.8000931473363814,0.748278045447423,0.7539669396936484,0.9410910161992185,0.9431261810933824
0.788,0.79,0.7444545524478113,0.7493852146470763,0.7854502508906345,0.7798087513835847,0.7429299458666985,0.7449473357796039,0.9358557179969114,0.9413127741456324
0.798,0.788,0.756439319689903,0.7413285336937139,0.7981254430267589,0.779468627197072,0.7501659002003818,0.7275037498681757,0.9427748767117111,0.9389342687268095
0.794,0.794,0.7459045341343759,0.7557786019615161,0.7992656098728844,0.7979422601974155,0.7387963586664196,0.7500098147546425,0.9394621298235292,0.9394938133666692
0.79,0.792,0.7489488206749031,0.7496665522274805,0.7793197626194935,0.7918599909561305,0.7426022773557227,0.7440522539609694,0.9386624550229458,0.9400300111718333
0.788,0.792,0.7467199671529462,0.7534620291413137,0.7879768704061961,0.7958290093718596,0.7402565271296497,0.7478125315113425,0.9444714129925874,0.9385806444685842
0.792,0.796,0.7508905584663946,0.7525729925736407,0.7809546839883096,0.7935875464313077,0.7460723329132556,0.7446412748761405,0.9393586506384279,0.9375543079311878
0.794,0.794,0.7507489277064078,0.7553506777553965,0.7885896386355062,0.7893928645601133,0.7464832641725724,0.7515395859212836,0.9373090234290785,0.9337414195059556
0.8,0.8,0.758267309203918,0.7599379005173664,0.8078352125598286,0.7940108299425127,0.751552069274263,0.7544060751784397,0.9419781949372377,0.9405164873922698
